kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 33026 : 130176 28929024 128 0 0 7232 3616 0 0 
_1.ptx 33027 : 130176 29401632 128 0 0 7232 3616 0 0 
_1.ptx 33028 : 130176 23804892 128 0 0 7232 3616 0 0 
_1.ptx 33029 : 130176 25456644 128 0 0 7232 3616 0 0 
_1.ptx 33030 : 130176 26478756 128 0 0 7232 3616 0 0 
_1.ptx 33031 : 130176 27283212 128 0 0 7680 3616 0 0 
_1.ptx 33032 : 130176 28780632 128 0 0 7680 3616 0 0 
_1.ptx 33033 : 130176 30132216 128 0 0 7680 3616 0 0 
_1.ptx 33034 : 130176 30673728 128 0 0 7680 3616 0 0 
_1.ptx 33035 : 130176 31648428 128 0 0 7680 3616 0 0 
_1.ptx 33036 : 130176 33182244 128 0 0 7232 3616 0 0 
_1.ptx 33037 : 130176 34920612 28544 0 0 6784 3616 0 0 
_1.ptx 33038 : 130176 35975520 32000 0 0 7680 3616 0 0 
_1.ptx 33039 : 130176 37140156 32384 0 0 7680 3616 0 0 
_1.ptx 33040 : 130176 38839968 32384 0 0 7680 3616 0 0 
_1.ptx 33041 : 130176 39726792 32128 0 0 7680 3616 0 0 
_1.ptx 33042 : 130176 40129596 32256 0 0 7680 3616 0 0 
_1.ptx 33043 : 130176 39873708 14464 0 0 7232 3616 0 0 
_1.ptx 33044 : 130176 1562112 0 0 0 0 0 0 0 
_1.ptx 33045 : 130176 1562112 0 0 0 0 0 0 0 
_1.ptx 33046 : 130176 781056 0 0 0 0 0 0 0 
_1.ptx 33048 : 260352 47578320 640 0 0 14464 7232 0 0 
_1.ptx 33049 : 260352 50562972 512 0 0 14464 7232 0 0 
_1.ptx 33050 : 260352 53274600 256 0 0 14464 7232 0 0 
_1.ptx 33051 : 260352 54713160 256 0 0 14464 7232 0 0 
_1.ptx 33052 : 260352 56768256 256 0 0 14464 7232 0 0 
_1.ptx 33053 : 260352 59537304 512 0 0 14464 7232 0 0 
_1.ptx 33054 : 260352 61554384 256 0 0 14464 7232 0 0 
_1.ptx 33055 : 260352 64962072 0 0 0 14464 7232 0 0 
_1.ptx 33056 : 260352 65861784 256 0 0 14464 7232 0 0 
_1.ptx 33057 : 260352 68457564 256 0 0 15360 7232 0 0 
_1.ptx 33058 : 260352 70979076 256 0 0 15392 7232 0 0 
_1.ptx 33059 : 260352 72004536 512 0 0 15392 7232 0 0 
_1.ptx 33060 : 260352 60016104 256 0 0 15360 7232 0 0 
_1.ptx 33061 : 260352 49259448 256 0 0 15360 7232 0 0 
_1.ptx 33062 : 260352 52198740 0 0 0 14464 7232 0 0 
_1.ptx 33063 : 260352 55819872 57856 0 0 13568 7232 0 0 
_1.ptx 33064 : 260352 57744972 65024 0 0 15360 7232 0 0 
